token,item,variation,sku,field,old,new,reason
BEVFIYZY2F2VPDIKKVV3NCDU,ALMON SLIVER SLICE,400G,201980,GTIN,,02019802,scanner sends the 8-digit code
B63AYZSOPNA72Z6FT7YT46JQ,ALMOND,2 LB,300100,GTIN,,03001006,scanner sends the 8-digit code
R3GRO5OAYC3KIKPPUQM46GJR,ALMOND,3 LB,300200,GTIN,,03002005,scanner sends the 8-digit code
O7A2HZXLDT7ABXRRBBJWMCHE,ALMOND BURFI,.50LB,858211,GTIN,,08582117,scanner sends the 8-digit code
ZOXYX2RMKMBPZY24XOOWIUVN,ALMOND BURFI,8 OZ,607400,GTIN,,06074009,scanner sends the 8-digit code
UIH4JAJNWZPDYMRQHESRIRXA,ALMOND COOKIES,16 OZ,719780,GTIN,,07197802,scanner sends the 8-digit code
IAZ7S23OB5KLJPMZWNR45OOI,ALMOND PISTA PEDA,7 OZ,343200,GTIN,,03432004,scanner sends the 8-digit code
KOLSBWGEKNR52YIIWT46PJ5E,ALMOND PISTA PEDA,7 OZ (2),605000,GTIN,,06050009,scanner sends the 8-digit code
IVMS5ETJGGXNNRJMVHPIKJZ3,ALMOND SLICE,14 OZ (400 GM),300900,GTIN,,03009008,scanner sends the 8-digit code
WL23L7JO6KP2RAUSUK7WH6BR,ALMOND SLICE,7 OZ,435220,GTIN,,04352204,scanner sends the 8-digit code
CN3BFZIDVBWNSDAMQDVMSVT2,ALMONDS,3LB,318700,GTIN,,03187003,scanner sends the 8-digit code
WGRZSLO27XLPHAV3XOB3LX5N,ALMONDS,3LBS,445600,GTIN,,04456003,scanner sends the 8-digit code
K7ELSFMM4SRB4UW2KSCEYESO,ALMONDS,3LB (2),575465,GTIN,,05754656,scanner sends the 8-digit code
CPPPOEWPEMV3QQILW7F27K2I,ALMONDS SLICE,400G,201220,GTIN,,02012207,scanner sends the 8-digit code
E3ZQDLY3UHW7MCKZIZR2M2MZ,ALMONDS SLICE,Regular,200370,GTIN,,02003704,scanner sends the 8-digit code
HKQ3LRYD6JSBWQSRFTZULI62,ALOO MATTER,Regular,314300,GTIN,,03143009,scanner sends the 8-digit code
J7QFDXGOU2L6F7FSGOQOVFQT,ALOO MUTTER,Regular,458970,GTIN,,04589707,scanner sends the 8-digit code
CMHGNQJGLTJ6ALZ2L36YJMAV,ALOO PANEER,Regular,565400,GTIN,,05654008,scanner sends the 8-digit code
3ZTT525VXILBRF4MF75OJQBO,ALOO SABZI,Regular,402200,GTIN,,04022008,scanner sends the 8-digit code
USXQ7M6CX6NXU745E277E5XH,ALSI,3 lb,313100,GTIN,,03131004,scanner sends the 8-digit code
HKI7RPM7ZQAJA4EFBGXVDFYK,ALSI,2 lb,400200,GTIN,,04002004,scanner sends the 8-digit code
CEVOHMSFH6MZ5GH6PW2OKGNU,ALSI,Regular,201420,GTIN,,02014205,scanner sends the 8-digit code
FQRRHB7Y5G2UZW5JJC6VY6LK,ALSI,800G,201410,GTIN,,02014108,scanner sends the 8-digit code
4HH57ZVEUGN4UQYCO3XKMHNC,ALSI,1 LB,534900,GTIN,,05349005,scanner sends the 8-digit code
7IGO535BMZ5ZD2RCEPP2RMNI,ALSI,2 LB (2),876100,GTIN,,08761002,scanner sends the 8-digit code
WZFYARO5AJNL6SH7Y2MJWCZJ,ALSI PINNI,Regular,566700,GTIN,,05667002,scanner sends the 8-digit code
CWHOQKFV2YUNDWEUQ3LCG4F5,ALSI PINNI,14OZ,232800,GTIN,,02328005,scanner sends the 8-digit code
KK5UITBUFOMEV3ZMXPSRHOXD,ALSI PINNI,4 LB,945600,GTIN,,09456008,scanner sends the 8-digit code
GMEDSZHNVUWWMJLUZ7R4QLE3,ALU BUKHARA,7OZ,610300,GTIN,,06103008,scanner sends the 8-digit code
EGJPX4BIWUXORHXKBWIDLASF,ALUBHUKHARA,14 OZ (2),934210,GTIN,,09342105,scanner sends the 8-digit code
WOLKFOAQCVTW7XJASSRXIST6,ALUBHUKHARA,28 OZ,907860,GTIN,,09078604,scanner sends the 8-digit code
Z75ZRDHQXJAYEEXFIPTL3XPG,AMRITSARI CHOLE,Regular,985207,GTIN,,09852075,scanner sends the 8-digit code
4MFA5FQBKFDQHG5K6H6AX34X,AMUL DESI GHEE,905 GM,401300,GTIN,,04013000,scanner sends the 8-digit code
KWMVSB3OI36ETFD5JUHTBU5F,ANAR DANA POWDER,100 GM,303600,GTIN,,03036002,scanner sends the 8-digit code
3U6PRYH2Z53HYNSZOWIBPDXM,ANGOOR TOOR DAL OILY,8 LB,310000,GTIN,,03100004,scanner sends the 8-digit code
7FMFY6QGC4MXZLIETBC4ZJVY,ARHAR DAL,Regular,609700,GTIN,,06097000,scanner sends the 8-digit code
TKPKG5EANQTEQBV67IWIT7AQ,ASSAM TEA,1 LB,401600,GTIN,,04016007,scanner sends the 8-digit code
GLEGDMWLIEUZ2S6PBQ6XPX37,ASSAM TEA,2Lb,401500,GTIN,,04015008,scanner sends the 8-digit code
OWNLMXDVYIURUSDUT3DVTWR3,ASSAM TEA,800 GM,401400,GTIN,,04014009,scanner sends the 8-digit code
2YJTPO6BWSYV5NU4XU3TADBO,BAINGAN ALOO,Regular,312600,GTIN,,03126002,scanner sends the 8-digit code
P47UU5BNJAYKNUPQ4T7DWI6V,BAINGAN BHARTHA,Regular,301300,GTIN,,03013001,scanner sends the 8-digit code
HT2L2P6MRDPSDUQAAKHYH2CV,BAINGAN MASALA,Regular,315100,GTIN,,03151008,scanner sends the 8-digit code
ZMMJWVSMWA2GDZ6C73SHF5M6,BANDIAN KE PHOOL,Regular,201900,GTIN,,02019006,scanner sends the 8-digit code
ACB22EBKV72ZB5HREYJD7LHR,BARLEY,2LB,204860,GTIN,,02048600,scanner sends the 8-digit code
JG4RWDHJJUXGC6ZR3KWKPRJB,BASMATI PAR BOLIED,Regular,502600,GTIN,,05026003,scanner sends the 8-digit code
2VIRVXYQWQACRWIQUH66PTOS,BASMATI RICE,2 LB,318800,GTIN,,03188002,scanner sends the 8-digit code
77V7AVVVR44NRAFMTBOPE4VZ,BASMATI RICE,4 LB,318900,GTIN,,03189001,scanner sends the 8-digit code
KWV3HL342HUBSD2F36ELKOZN,BASMATI RICE,4 LB (2),502700,GTIN,,05027002,scanner sends the 8-digit code
OLGY2DOE5AOVNSIG3ZWCAKLS,BATATA RINGAN,Regular,558200,GTIN,,05582004,scanner sends the 8-digit code
K2JWCLUKMXQGEUZL2V7565Y6,BATATA RINGAN,Regular (2),826230,GTIN,,08262307,scanner sends the 8-digit code
I3S4HWPC5N3EAXPHULJW7LTP,BAY LEAF,50 GM,315200,GTIN,,03152007,scanner sends the 8-digit code
U2ARKXPZKUKIXZHN7UTLKHPS,BAY LEAF,25 GMS,315300,GTIN,,03153006,scanner sends the 8-digit code
HCX7LCO3FMYSWXQ6YFMWDH2X,BENGALI MIX,9oz,985258,GTIN,,09852587,scanner sends the 8-digit code
52VN5ZSRAIITJP5FGEUGIOH4,BENGALI PUFFED RICE,14.1 OZ (400 GM),562400,GTIN,,05624007,scanner sends the 8-digit code
KRIRLXXX3QXLBU3UBMSUT752,BESAN,2lb,256900,GTIN,,02569006,scanner sends the 8-digit code
SZ4SKAXHC3IGTXROQT2BCFX2,BESAN BURFI,14 OZ,558600,GTIN,,05586000,scanner sends the 8-digit code
SAKUL7EYDXMHG2NMC3SSB5CR,BESAN BURFI,8 OZ,915430,GTIN,,09154300,scanner sends the 8-digit code
EDWRY7B2CBJQRR7GUAXKMNKL,BESAN BURFI,8 OZ (2),606500,GTIN,,06065001,scanner sends the 8-digit code
MIRIUZM3VV37NT2OFC3HW43V,BESAN PINNI,14 OZ,405500,GTIN,,04055006,scanner sends the 8-digit code
KXZABQGV42PVI32GJAMOUOK5,BESAN PINNI,7 OZ,205987,GTIN,,02059877,scanner sends the 8-digit code
A5EBT7CPSLDCCRO4KTDON7M3,BHINDI ALOO,Regular,312500,GTIN,,03125003,scanner sends the 8-digit code
DW6DZ65K2BM4T6SAJBT7IXBO,BHINDI MASALA,Regular,313000,GTIN,,03130005,scanner sends the 8-digit code
HBER37T2QNWMZ3PNWZAV4PQZ,BHINDI MASALA,Regular (2),777700,GTIN,,07777004,scanner sends the 8-digit code
672W2VFC545ET7MZTIUJUQKS,BHINDI RAITA,Regular,465400,GTIN,,04654009,scanner sends the 8-digit code
6ND3TDNVIIOI66YK4HBCG4AH,BLACK CARDAMOM,28OZ,563483,GTIN,,05634836,scanner sends the 8-digit code
XXXN3UISKHOUJZLXI5M3DI6B,BLACK CARDAMOM,100G,100350,GTIN,,01003501,scanner sends the 8-digit code
PKRAEDFVFUCJW6GZGKFKPKF5,BLACK CARDAMOM,7 OZ (3),456900,GTIN,,04569004,scanner sends the 8-digit code
UIPGNFHMCLRKFCMRA6YHON7E,BLACK CARDAMOM,14OZ,763210,GTIN,,07632101,scanner sends the 8-digit code
CS3ZJISGCR64XHLIO4DQVQZ5,BLACK EYE PEAS,2 LB,307900,GTIN,,03079007,scanner sends the 8-digit code
TH7Q4OTW2GIGLL4PIIJUYHJQ,BLACK EYE PEAS,8 LB,307700,GTIN,,03077009,scanner sends the 8-digit code
TINOMZZOJHMUU7D2PFT6VHQV,BLACK EYE PEAS,4 LB,307800,GTIN,,03078008,scanner sends the 8-digit code
N4MO4BXAQP2J7VCXPVZ5OW2M,BLACK PEPPER,Regular (3),201910,GTIN,,02019103,scanner sends the 8-digit code
QZLYIO2XFB53FJS4G4G7GCK7,BLACK PEPPER,200g,200940,GTIN,,02009407,scanner sends the 8-digit code
NQOK3JRK6IQYGJ3M6OTFZTGA,BLACK PEPPER,14oz,600800,GTIN,,06008006,scanner sends the 8-digit code
4LIWTZMX3JXWG34MZ2TSXBVB,BLACK PEPPER,400g,200930,GTIN,,02009300,scanner sends the 8-digit code
SPLGLTUV7PXIDU4ZDU7JX2WV,BLACK PEPPER POWDER,28 OZ,600900,GTIN,,06009005,scanner sends the 8-digit code
6V4DN2BFWSFAAQ676FDV4OR4,BLACK PEPPER POWDER,7OZ,567400,GTIN,,05674002,scanner sends the 8-digit code
YLQXJF3JU6B3SHT6HZYO53EB,BLACK PEPPER POWDER,3.5 OZ,568300,GTIN,,05683000,scanner sends the 8-digit code
EHPLDXRJLEDF5SRP6M2QS6XL,BLACK PEPPER WHOLE,14 OZ (400 GM),560900,GTIN,,05609008,scanner sends the 8-digit code
RMCFXEKNSXBXXO7QUPRWM7PK,BLACK PEPPER WHOLE,800GM,560800,GTIN,,05608009,scanner sends the 8-digit code
N4UWO5I2BSVWYQOTSYBVTHIR,BLACK RAISINS,Regular,200190,GTIN,,02001900,scanner sends the 8-digit code
FBCGX2AQADCQOSDY3PPBWX74,BLACK RAISINS,400 GM,603700,GTIN,,06037008,scanner sends the 8-digit code
HVCRDJTAHFMGDDL4AGCZARLN,BOMBAY BIRYANI,Regular,456300,GTIN,,04563000,scanner sends the 8-digit code
HQ7U22JD64LQQLJECMCMTB67,BOMBAY SWEET SUPARI,Regular,416540,GTIN,,04165408,scanner sends the 8-digit code
B3OX67AHC6MC2OE65QAJYVC5,BOONDI KI BURFI,8 oz,604700,GTIN,,06047005,scanner sends the 8-digit code
UW7UTCD7Y4DEUQSYRFSHMJCS,BOONDI RAITA,Regular,453245,GTIN,,04532453,scanner sends the 8-digit code
GJJQQIZBC56ZIJI7VQ67YDQG,BOONDI SEV,7OZ,416410,GTIN,,04164108,scanner sends the 8-digit code
3YQF57M6RENO2UGKFQ4G6USX,BROKEN CASHEW,28 OZ,302400,GTIN,,03024007,scanner sends the 8-digit code
RMO55ZPPUZJ5ZE2AVMEFB6P2,BROKEN CASHEW,1 LB,501200,GTIN,,05012000,scanner sends the 8-digit code
CTVW62HTWLGVB3RTW3SSH2CS,BROKEN CASHEW,1 LB (2),302500,GTIN,,03025006,scanner sends the 8-digit code
B74G6WRX23PE3JSXR4RAN2QB,BROKEN CASHEW,4LB,558700,GTIN,,05587009,scanner sends the 8-digit code
7NGU3TM4LW25RFUI6PFUB25K,BROWN BASMATI RICE,4LBS,500700,GTIN,,05007008,scanner sends the 8-digit code
P3HYP323UJSEU3PNNJC7ZTXG,BROWN RICE,2LB,314000,GTIN,,03140002,scanner sends the 8-digit code
HGQQWV2LTJPJJS53XLJODNYU,BROWN SESAME SEEDS,400 GM,452310,GTIN,,04523109,scanner sends the 8-digit code
5HU7FA3KD2UECSWJUWTZ2JUQ,BROWN SESAME SEEDS,200 GM,872090,GTIN,,08720908,scanner sends the 8-digit code
SNCOVRVC2SJHPHSJYEYTLXCI,BROWN SESAME SEEDS,800 GM,234800,GTIN,,02348009,scanner sends the 8-digit code
E6B2FFZZD55GWHKP75NKRR4D,BULGUR WHEAT SALAD,Regular,001000,GTIN,,00010007,scanner sends the 8-digit code
KTBLC5UYYZDZPFHE4WAGO2RM,CARDAMOM SEED,14 OZ,569000,GTIN,,05690000,scanner sends the 8-digit code
2TOVUW2NNLKMZKC7Z6KOJDDI,CARDAMOM SEEDS,Regular,320000,GTIN,,03200001,scanner sends the 8-digit code
P5QMR4SWAKZZY2B2LA6NPPFM,CARDAMOM SEEDS,7OZ,878700,GTIN,,08787000,scanner sends the 8-digit code
4C3SJIPUNMA6PI4FSD6YLXYY,CARDAMOM SEEDS,3.5oz,319900,GTIN,,03199008,scanner sends the 8-digit code
CUO6NTMV3O2QUH7TLJWQPDJP,CASHEW COOKIES,Regular (2),517300,GTIN,,05173008,scanner sends the 8-digit code
ZKPBFU5U7AXYOKDMPRBNEW55,CASHEW PISTA ROLL,.50lb,159000,GTIN,,01590007,scanner sends the 8-digit code
YC4PEXMUV2GWTS4GF24OZIBH,CASHEWS,1 LB,301800,GTIN,,03018006,scanner sends the 8-digit code
LA5FZJUJY42Y6232ZPJH5R42,CASHEWS,2 LB,301900,GTIN,,03019005,scanner sends the 8-digit code
DMJFOQ7QMDKJTRV3I5GTFOIW,CASHEWS,4LB,301700,GTIN,,03017007,scanner sends the 8-digit code
6RO5G63JZU5RLEXFCX7P4UMP,CASHEWS,1LB,782700,GTIN,,07827006,scanner sends the 8-digit code
RS2BZR4T4C4HYFJRSEVPNZQU,CASHEWS,2LBS,567880,GTIN,,05678804,scanner sends the 8-digit code
AG3PHAXBGGWPYSXSXUMKQABW,CASHEWS,3 LB,714530,GTIN,,07145304,scanner sends the 8-digit code
36WPYQQZ77Q5XHGYWXEUENYS,CASHEWS,800 GM,784129,GTIN,,07841293,scanner sends the 8-digit code
5YTRGGXQJ5PJ7OQAXDFN7A5J,CHAM CHAM,1 lb,873421,GTIN,,08734211,scanner sends the 8-digit code
XMP3AKZOZ2UJHIM6XF3RWN56,CHAM CHAM,Regular,606900,GTIN,,06069007,scanner sends the 8-digit code
W6ULBZWV3QTPVOX3RUMPDBMF,CHANA ALOO,Regular,987656,GTIN,,09876569,scanner sends the 8-digit code
G73Z7ZCSXMW5YKNB7IE6W3CI,CHANA CHAAT,Regular,604000,GTIN,,06040002,scanner sends the 8-digit code
ZEGCD2GD2FPIDZDA6DVH6U5J,CHANA DAL,Regular,201230,GTIN,,02012304,scanner sends the 8-digit code
AR25YQW2M7DHVKNCBGYDO7B7,CHANA DAL,Regular (2),962960,GTIN,,09629600,scanner sends the 8-digit code
GIDJ4QRXVZWZIVEMC74XTTSH,CHANA DAL 7LB,Regular,473000,GTIN,,04730006,scanner sends the 8-digit code
VTEJWPAEMSB5NIF4ZNPM6JYX,CHANA MASALA,Regular,610400,GTIN,,06104007,scanner sends the 8-digit code
47RH3PG2WRJITRNM654XVLDU,CHANA MASALA,Regular (2),100077,GTIN,,01000771,scanner sends the 8-digit code
ZQBLKHOAWVE2FGKCBL627EID,CHANDRAKALA,7OZ,607000,GTIN,,06070003,scanner sends the 8-digit code
B5YBBHW7IETXYNQPLYGHZ5ZN,CHANNA DAL,4 LB,304700,GTIN,,03047008,scanner sends the 8-digit code
PFY42KRIY6HV5QMQ6SG2STGZ,CHANNA DAL,8 LB,304800,GTIN,,03048007,scanner sends the 8-digit code
N6INLBJ6U4NHWZ7G2LYQT7ZC,CHANNA DAL,2 LB,304600,GTIN,,03046009,scanner sends the 8-digit code
AZRU55X2UUAXDWGFBIERDHZA,CHANNA DAL COOKED,Regular,310800,GTIN,,03108006,scanner sends the 8-digit code
TVUNWCX5W3FIBVQSWIKTEKM7,CHANNA MASALA,Regular,311900,GTIN,,03119002,scanner sends the 8-digit code
OFB2GDWKLKQJEH4VH32HJO4M,CHAR MAGAZ,Regular,205320,GTIN,,02053204,scanner sends the 8-digit code
4OUU2HQNRWCLNK7YC5ZSV2LL,CHAT PAPDI,Regular,210384,GTIN,,02103842,scanner sends the 8-digit code
TZYNWITML2MXF7VN52BW3JR2,CHIA SEED,1 LB,567365,GTIN,,05673650,scanner sends the 8-digit code
FL37DZSFD6UPDUAGUQ24Z2EF,CHIA SEED,2LB,684768,GTIN,,06847685,scanner sends the 8-digit code
HWQLEIBUL4NNV2UJXR6YII4J,CHIA SEED,1 LB (2),608600,GTIN,,06086004,scanner sends the 8-digit code
Y6TZFSWK6CIBFQY34YW3SHUF,CHIA SEEDS,2 LB,304500,GTIN,,03045000,scanner sends the 8-digit code
55PR6232WZNCSCH5UMMVI2TQ,CHICKPEAS,2LB,308400,GTIN,,03084009,scanner sends the 8-digit code
KISH3NMYRBPORG22P5UG32LR,CHICKPEAS,4LB,308200,GTIN,,03082001,scanner sends the 8-digit code
2JDPYGFHQKFAGTQPODAAN6CC,CHICKPEASD,8LB,308300,GTIN,,03083000,scanner sends the 8-digit code
DZCUPU7LE22OENVA2RLSGU4Y,CHILLI PANEER,Regular,402100,GTIN,,04021009,scanner sends the 8-digit code
GAZF73ZL7INFIBU2FMSJMJCD,CHILLI PANEER,Regular (2),606000,GTIN,,06060006,scanner sends the 8-digit code
4QVZE452ZJ7BHL4BRN2WWA74,CHILLI PANIR,Regular,101000,GTIN,,01010006,scanner sends the 8-digit code
IWRJS3B2FPYEOZ6N3GC3N7N6,CHOCOLATE BURFI,7 oz,741970,GTIN,,07419708,scanner sends the 8-digit code
BFEMSJPNP4RYXOKZMFDES2YE,CHOCOLATE BURFI,7 OZ (2),608700,GTIN,,06087003,scanner sends the 8-digit code
MYWQ6FBCTRQ5B6XWK67JENXF,CHUM CHUM,8 OZ,097600,GTIN,,00976006,scanner sends the 8-digit code
OPYGJLTNGWIHY6LUCEZGRBNL,CINAMEN STICKS,1LB,316900,GTIN,,03169007,scanner sends the 8-digit code
XVORM6MQQVQUO7VGUNT5SSEK,CINAMMON STICKS,1 LB,316800,GTIN,,03168008,scanner sends the 8-digit code
7BVEXJOP54GM63PEEZZ3PM5M,CINAMMON STICKS,7 OZ,317000,GTIN,,03170003,scanner sends the 8-digit code
RGB4MJ6CX3MKO2RN6YIQFCMC,CINMON STICK,1.5LB,603600,GTIN,,06036009,scanner sends the 8-digit code
CRDZ6MX3KRPNGIVKTY4LXDV7,CINNAMON STICK,2LB,453453,GTIN,,04534539,scanner sends the 8-digit code
GSJLRUFPJHQQP2FUQZVSK7MC,CLOVES,200 GM,303200,GTIN,,03032006,scanner sends the 8-digit code
27FVFUZEBXMRO5OGDQRUH5MK,CLOVES,2LBS,310300,GTIN,,03103001,scanner sends the 8-digit code
E5RMKTOAEANHIXOWJVEY6Z74,CLOVES,400 GM,303300,GTIN,,03033005,scanner sends the 8-digit code
HVRMLOAV466WFMHFF7J6NZ3V,CLOVES,3.5 OZ (100 GM),303100,GTIN,,03031007,scanner sends the 8-digit code
TC6R5NWVUZRHDK7W6UVM64O3,CLOVES,100g,201370,GTIN,,02013701,scanner sends the 8-digit code
TNUI4BJWZDGKCA7USBCTIY5S,COCA-COLA,20 FL OZ,490440,GTIN,,04904403,scanner sends the 8-digit code
JQDW4CUUAYHP22FWFS5XBOYR,COCA-COLA,12 OZ,496340,GTIN,,04963406,scanner sends the 8-digit code
VNM55OJOE6MLAB4V7KZ6SLTU,COCONUT,1 LB,500900,GTIN,,05009006,scanner sends the 8-digit code
JORN5JMJH27JBVB2MZGNMAJF,COCONUT BURFI,7 OZ,432786,GTIN,,04327868,scanner sends the 8-digit code
BJQVANXF3NNHWI57YIEAGWU5,COCONUT BURFI,7 OZ (2),610700,GTIN,,06107004,scanner sends the 8-digit code
MQHDLGARJ3YAIRQH3ZDLWABC,COCONUT CHUTNEY,16 OZ,638468,GTIN,,06384685,scanner sends the 8-digit code
BNMR7UXN2JZXFHNINY4QOZ5E,COCONUT CHUTNEY,8 OZ,638768,GTIN,,06387686,scanner sends the 8-digit code
QMCT5BVRH23YWFJURJYYM4XF,COCONUT CHUTNEY,Regular,604800,GTIN,,06048004,scanner sends the 8-digit code
J346FE3MOCRSELS7GXZRYC2W,COCONUT CHUTNEY,8 OZ (2),605300,GTIN,,06053006,scanner sends the 8-digit code
SYZRX4P4RB5Z2KURTSCZO76Q,COCONUT COOKIES,16 OZ,874590,GTIN,,08745907,scanner sends the 8-digit code
2AOV7VZBHV5Z3P2V2YMB6VKE,COCONUT LADOO,6 OZ,121200,GTIN,,01212008,scanner sends the 8-digit code
3P6FMCVFTBIA2WDGO7NNBJ7K,COCONUT POWDER,14 OZ (400 GM),502000,GTIN,,05020009,scanner sends the 8-digit code
C53DG35CMQZKMV5WSWNNUGDJ,COCONUT POWDER,1 LB,406600,GTIN,,04066002,scanner sends the 8-digit code
3SGPUGS4D2ZPNEX7C7AV5FPT,COCONUT POWDER,Regular,200990,GTIN,,02009902,scanner sends the 8-digit code
VBSUACRHJLMSBMOULXMJUILV,COCONUT POWDER,Regular (2),201010,GTIN,,02010102,scanner sends the 8-digit code
S4FOE4I2SEUTEUQXMBE2FYZ6,COCONUT POWDER,7OZ (2),857360,GTIN,,08573605,scanner sends the 8-digit code
WMSM7Y7MNEX5B3DYOCOQF26F,COLE SLAW,Regular,111300,GTIN,,01113000,scanner sends the 8-digit code
JAJPUWCZLQXQYSL3M6NAK33A,COLE SLAW,Regular (2),604500,GTIN,,06045007,scanner sends the 8-digit code
OQ4FSSPKETDMTZPO5J4EMYKK,CORIANDER SEED,2.00LB,602600,GTIN,,06026002,scanner sends the 8-digit code
633SZRS435UXOWEGOKRJQWDK,CORN SALAD,Regular,601500,GTIN,,06015006,scanner sends the 8-digit code
DU43ISZCIAURTFOKEEPDGFYZ,CORRIANDER SEED,14 OZ,602700,GTIN,,06027001,scanner sends the 8-digit code
AD3SP5IAHGJ7V3GJJOAPKO2Z,CORRIANDER SEED,200 GMS (2),564900,GTIN,,05649006,scanner sends the 8-digit code
DT7EU6UVWLBMFWIEZHSJLE7S,COUSCOUS,2 LB,652098,GTIN,,06520984,scanner sends the 8-digit code
XM326L76JO7EYOZH55IHJM4B,COUSCOUS,1 LB,452500,GTIN,,04525000,scanner sends the 8-digit code
WLFURVNMYTKZRHGG6WZLZL2H,COUSCOUS,1 LB (2),604200,GTIN,,06042000,scanner sends the 8-digit code
T4R453ZTHKXK2MY6EAM5JAB5,CRANBERRI,14 OZ,559000,GTIN,,05590003,scanner sends the 8-digit code
R6DKDKCRFMDY46WNNGECG5OE,CRANBERRIES,1Lb,401700,GTIN,,04017006,scanner sends the 8-digit code
UZ266CF6Y3P6BPX6XYNYVPET,CROWN CORRIANDER SEEDS,400 GM,566500,GTIN,,05665004,scanner sends the 8-digit code
ZEJKTDS5ZY7UFNTSCKX4ZJ5A,CROWN CUMIN SEEDS,400 GM,566600,GTIN,,05666003,scanner sends the 8-digit code
RK4Y5MFZIZ6J36DMKLXOF7OT,CROWN GREEN CARDAMOM,200 G,565100,GTIN,,05651001,scanner sends the 8-digit code
NSMBRCFOHS6VOS76MFTLY2ER,CROWN KALA CHANNA,4 LBS,567000,GTIN,,05670006,scanner sends the 8-digit code
H66DTASRSTLMEVGAYPI5KUAJ,CROWN TURMERIC POWDER,200 G,565800,GTIN,,05658004,scanner sends the 8-digit code
X5B5GZDIHMEOFBYRCM3VHWKZ,CRUSH CHILLI,400GM,304100,GTIN,,03041004,scanner sends the 8-digit code
NOGMTD4CO5LHWWWXBQ3TOJUG,CUMIN POWDER,14OZ,657860,GTIN,,06578602,scanner sends the 8-digit code
PEQFBQ7MDGSGTF555BUGWFKS,CUMIN SEED,4 LB,303900,GTIN,,03039009,scanner sends the 8-digit code
WYQMHTDULSVGZ6NSD4NIG54J,CUMIN SEEDS,14 OZ (2),559800,GTIN,,05598005,scanner sends the 8-digit code
PDIUSHO3WLSZC43DOUYCHXK7,CUMIN SEEDS,400g,200920,GTIN,,02009203,scanner sends the 8-digit code
WPH6QF4ZBQ3TNVXIQ2UDACBI,CUMIN SEEDS,800GM,466300,GTIN,,04663007,scanner sends the 8-digit code
HC5YQUIAG3VSBQA6TUYOZNYL,CUMIN SEEDS,200 GM,559500,GTIN,,05595008,scanner sends the 8-digit code
GQNBN5IIP3ZGDXR25MGOXA45,CUMIN SEEDS,28OZ,606300,GTIN,,06063003,scanner sends the 8-digit code
COQOQ4SJVX2EC66UVA6MFRXB,CUMINSEEDS,3LBS,566900,GTIN,,05669000,scanner sends the 8-digit code
Q4YLRWXBFGMHIRD6UYZH4BYY,CURRY POWDER,400GM,304200,GTIN,,03042003,scanner sends the 8-digit code
PK4MQWOMLDGUAL3W3MFDKKG7,CURRY PWDER SPL,Regular,987411,GTIN,,09874118,scanner sends the 8-digit code
L2MKNQBG5U2DVXPPU6C2VX3U,DAAL PALAK,Regular,608500,GTIN,,06085005,scanner sends the 8-digit code
HEJBA3XCXFJBUMYQ5NYSNQFU,DAHI VADA,Regular,405400,GTIN,,04054007,scanner sends the 8-digit code
M726PVK6QHZACWJV4TP77HYL,DAHI VADA,Regular (2),100002,GTIN,,01000027,scanner sends the 8-digit code
K4R7BDS4MYSWADWYO4IQ5RDX,DAL BASANTI,Regular,566200,GTIN,,05662007,scanner sends the 8-digit code
I3LVBLY6RBWMC6WXD4FO7NYF,DAL PALAK,Regular,784521,GTIN,,07845215,scanner sends the 8-digit code
